Film;Tytuł filmu;Data i godzina publikacji filmu;Wyświetlenia;Czas oglądania (w godzinach);Subskrypcje;Wyświetlenia miniatur;Współczynnik klikalności wyświetlonych miniatur (%)
9mpaW1D1Ivo;Ciekawe historie z etatu - Podcast: #60;Aug 25, 2020;192;35.6246;0;2439;03.gru
LlWdnWCUHvs;Vlog #104 - Bez niej by się to nie udało;Apr 9, 2020;192;19.612;2;2305;mar.56
dwCfzFCN9L8;Vlog #009 - To moja klątwa czy błogosławieństwo?;Jul 12, 2019;192;11.456;7;2757;lut.47
SqwM3iOtUtI;Podcast #028 - Jak się uczyć?;Jan 14, 2020;191;26.1544;4;2454;mar.18
5OIBsr4yvn4;#142 Czy można się uczyć na błędach innych? - Vlog;Jul 9, 2020;189;11.0976;0;1634;mar.86
aAISXOtbpgA;Jak stać się ekspertem i dobrze zarabiać? - Podcast: #64;Sep 22, 2020;186;22.1413;0;1485;kwi.78
kVrDL-cSd3Q;#46 Jak zbudować własny biznes? - Podcast;May 19, 2020;186;25.0347;2;3307;02.wrz
9-q0U6KmNi4;#145 Dlaczego wolimy odkładać wszystko na jutro? - Vlog;Jul 16, 2020;185;gru.37;2;1969;mar.81
IJTy3f4xJHU;#54 Jak szybko rozpędzić swoją karierę? - Podcast;Jul 14, 2020;185;20.9546;2;2121;mar.87
KxdL2pvjbwg;Vlog #018 -  Overment - nagrywamy podcast;Aug 3, 2019;182;9.0146;3;1981;mar.48
H5NHpLzpaec;VLOG #003 - Czy masz rutyny?;Jul 1, 2019;180;wrz.93;0;2545;mar.81
bgJdx_BRcPk;#56 - Asertywność i szacunek w pracy - Podcast;Jul 28, 2020;180;20.4859;0;2034;mar.93
RrQbObalkcU;Podcast #039 - Produktywne zajęcia w wolnym czasie;Mar 31, 2020;179;13.1539;2;2506;02.sie
rui8NEDfgrs;Ten film bardzo na mnie wpłynął - Vlog: #152;Aug 13, 2020;178;10.575;0;1450;maj.66
3pnNB1MjbQM;Poznaj swoje prawa z umowy o pracę - Podcast: #62;Sep 8, 2020;176;17.3514;-1;1659;mar.92
bsQuvOlPooc;Podcast #037 - Praca zdalna oczami pracownika;Mar 17, 2020;176;22.9404;4;4134;sty.91
7dGD4z4Ltu8;Dlaczego mi się chce? - Vlog: #154;Aug 18, 2020;174;20.2943;1;1560;5
rkJqJ90oep0;Podcast #043 - Jak wygląda dzień przedsiębiorcy zdalnego?;Apr 28, 2020;171;18.0761;2;1944;lut.42
AxD0-nbVXyE;Największe zagrożenie dla Twojej produktywności - Vlog: #159;Sep 4, 2020;165;15.2912;2;1862;04.sie
2UPytRgYyqI;Jak zdobywać doświadczenie? - Podcast: #65;Sep 29, 2020;164;18.6677;2;1436;kwi.32
HrPKPzE5-xM;#50 Praca w korporacji czy w mniejszej firmie? - Podcast;Jun 16, 2020;164;23.1818;1;3047;lut.49
d8o0CjyfZ8g;Jak odzyskać swój czas? - Vlog: #151;Aug 11, 2020;162;wrz.63;1;1312;04.kwi
dL34-63VJX8;Vlog #008 - Jak zacząć działanie?;Jul 11, 2019;161;13.0705;0;2429;mar.75
uSVB1qS8FEU;Podcast #020 - Proste narzędzie, które odmieni Twoje życie;Nov 19, 2019;161;lis.04;2;1656;mar.14
VXNaE_EwexY;Vlog #064 - Wesołych Świąt;Dec 24, 2019;160;mar.58;3;1214;0.74
cFj1QYxuFfg;Prosty sposób na wprowadzanie zmian w życiu - Vlog: #160;Sep 9, 2020;159;14.086;0;1764;maj.22
mJbbIVVW4E8;Excel_lent work - skuteczna nauka Excela;Dec 4, 2017;158;sty.52;7;1476;kwi.95
mvktxoI-f8Q;Podcast #026 - Jak osiągać wszystkie cele (w tym noworoczne);Dec 31, 2019;156;20.9575;2;2311;lut.73
IFC0BU7Tb70;VLOG #002 - Jak to jest z ryzykiem?;Jun 29, 2019;154;9.1813;7;2190;kwi.79
e4ZbfzN3TXE;Czy pieniądze dają szczęście? - Vlog: #162;Sep 16, 2020;154;13.2034;1;1585;kwi.98
mRNNlwRBORw;#55 Skąd czerpać wiedzę w Internecie? - Podcast;Jul 21, 2020;151;14.0135;1;1923;03.lut
EYGuDXpknpc;Vlog #093 - Kryzys ekonomiczny 2020? Czy to już?;Mar 15, 2020;150;gru.57;4;2537;lut.92
aCsK-nDg-S0;Podcast #032 - Cecha, która pozwoli Ci działać;Feb 11, 2020;149;13.8721;3;2109;01.wrz
lyK3eX7YWwk;Jak pokonać swoją nieśmiałość? - Podcast: #61;Sep 1, 2020;149;18.7651;1;1942;mar.35
17Z94hIrCQk;Co robić dalej? - Vlog: #172;Oct 21, 2020;148;lip.68;1;1001;lip.59
XUHwpLPCE9Q;#123 - Dlaczego boimy się tego, co powiedzą o nas inni? - Vlog;May 23, 2020;148;16.1768;1;2234;03.kwi
EkixlIS1uyE;Excel - wyszukaj.pionowo - część pierwsza;Dec 4, 2017;147;8.873;5;933;08.kwi
PDvg45V_M8s;W co można inwestować? - Vlog: #163;Sep 19, 2020;147;18.0212;3;1745;04.lip
fpErX_UIEPc;Podcast #024 - Test, który otworzył mi oczy;Dec 17, 2019;147;13.7493;1;1721;03.sie
tVSfvdDqZ2I;#143 Jak działają lokaty, kapitalizacja i promocje bankowe? - Vlog;Jul 12, 2020;147;15.0026;0;1772;maj.36
E7apS9k_gDI;18 zasad dobrego snu - Podcast: #66;Oct 6, 2020;146;16.9617;1;1099;kwi.46
IBmQAtvboHk;Podcast #027 - Jak ustalić cele?;Jan 7, 2020;146;16.3391;3;2636;03.lip
EGXBXbeE2mc;VLOG #004 - Czy masz talenty?;Jul 3, 2019;145;pa�.81;0;2304;mar.95
IW_BHAnb7ok;Vlog #007 - Czy księgowość jest straszna?;Jul 8, 2019;144;pa�.91;2;2245;kwi.68
llxM9USaiqQ;Vlog #073 - Jak się nie martwić i zacząć żyć?;Jan 22, 2020;141;lip.67;2;1794;lut.95
0PvTu5NySoY;Co to jest i jak prowadzić budżet? - Podcast: #67;Oct 13, 2020;138;pa�.58;0;1097;mar.74
fUAjCK1Iyi8;Jak zachować work-life balance? - Vlog: #165;Sep 26, 2020;138;wrz.27;5;1329;kwi.21
EStNLIpE3K4;Vlog #092 - Korona świrus;Mar 13, 2020;134;lip.02;-2;3338;lut.34
b-uyZQewKG8;Vlog #036 - 12 tygodni Twojego życia;Sep 18, 2019;134;sie.21;-2;2035;kwi.18
gHn0RbR5jko;#47 Własny biznes - oczekiwania kontra rzeczywistość? - Podcast;May 26, 2020;134;16.9008;0;2126;lut.26
8LXMn6dhpnM;Podcast #07 - Praca w zespole;Aug 20, 2019;132;gru.72;0;3126;lut.94
SbwMwM5TBnQ;Vlog #034 - Jak on się tak nie wstydzi?;Sep 13, 2019;131;10.1088;0;1852;03.kwi
WekHZjUz0Hg;Podcast #00 - O czym to będzie?;Jul 9, 2019;131;6.1821;2;1751;mar.66
0fE_SIgY5zY;Vlog #110 - Finał zapisów na kurs Excela;Apr 24, 2020;130;sie.87;2;1460;mar.29
5EmolJl9sGE;Podcast #023 - LinkedIn w szukaniu pracy i rozwoju firmy - gość Marcin Niewęgłowski;Dec 10, 2019;130;17.9253;2;1953;lut.87
rV8gEfpkNlE;Podcast #040 - Zrozum swojego szefa;Apr 7, 2020;129;gru.29;5;2282;sty.84
I5wPrEg1qhg;#53 Jak odnaleźć pasję i na niej zarobić? - Podcast;Jul 7, 2020;128;16.5475;0;2298;lut.92
1vXHyy_R6Qs;Wiek a założenie swojej firmy - Vlog: #153;Aug 15, 2020;126;sie.48;1;1535;maj.47
4vOvq9wA-p4;#147 Jak szukanie wymówek wpływa na nasze życie? - Vlog;Jul 21, 2020;125;6.1339;2;1324;mar.47
aRBjaVNuqfs;Excel - filtry - użycie klawisza F4 - szybka porada;Dec 15, 2017;124;sty.29;0;1254;mar.83
nk20yl8NF1A;#136 Dlaczego warto grać w gry? - Vlog;Jun 23, 2020;123;pa�.06;2;1691;kwi.14
gVisSGoPPT8;Vlog #067 - Planujemy cele na kolejny rok;Jan 3, 2020;122;pa�.62;0;1695;mar.24
IqLMZEuKcqE;Vlog #085 - Jak mierzyć swój czas pracy?;Feb 21, 2020;120;sie.77;1;1738;lut.65
mjN8PlwLdKg;Vlog #081 - To dzięki niej tu jestem;Feb 12, 2020;120;wrz.83;0;1565;mar.64
zoKJo2G3Ke8;Vlog #038 - Umiejętności, które zmienią Twoje życie;Sep 23, 2019;120;sie.01;2;1615;kwi.83
HvbFhDaeCKY;Vlog #021 - Ta cecha może dać Ci sukces;Aug 9, 2019;119;sie.18;7;1668;02.lip
LUwOHJgCQYQ;Szczęście a sukces finansowy - Vlog: #157;Aug 29, 2020;119;sie.88;1;1538;kwi.42
lppfc-mbXJQ;Vlog #097 - Najlepszy kurs Excela w Polsce;Mar 24, 2020;119;lip.93;1;1685;kwi.15
EULBFhjUjKI;Excel - konwertowanie na liczbę - szybka porada;Dec 15, 2017;118;mar.86;0;1629;04.lis
vnHQR21axDk;Podcast #035 - Trzeba być na to gotowym;Mar 3, 2020;118;wrz.46;3;1684;lut.73
1srwkQIDE3U;Narzędzie, które pozwala budować stanowiska i firmy - Vlog: #161;Sep 11, 2020;117;10.0839;1;1934;mar.21
1Bm2csEqZa4;Vlog #012 - Budowanie relacji;Jul 20, 2019;116;lip.66;0;2351;03.lut
Wml52A3hyi0;Czy Twoje stanowisko zniknie? - Podcast: #63;Sep 15, 2020;116;14.2422;1;1623;mar.57
JmuKIfWztyk;Podcast #018 - Proces rekrutacyjny od kulis;Nov 5, 2019;115;16.4563;2;1747;02.sie
E8pnEUYNOmM;Twoje miejsce pracy a Twoja efektywność - Vlog: #164;Sep 23, 2020;112;sie.03;0;1645;kwi.98
RuojE8nnUbI;Oni osiągają cele mimo wszystko, zobacz dlaczego - Vlog: #155;Aug 21, 2020;112;sie.56;0;1491;mar.89
4ZZ9WUzZJQg;Podcast #03 - Relacje w biznesie - Szymon Mierzwa;Jul 23, 2019;110;17.9678;1;2516;mar.14
Q3vi-XrTsGs;Podcast #030 - Sposób na pokonywanie złożonych zadań;Jan 28, 2020;110;8.1648;4;1887;02.sty
098uuK-grDM;Excel - wyszukaj.pionowo - cześć druga;Dec 6, 2017;109;9.0109;0;973;maj.14
waUrwbr76uY;Excel - polski format daty;Dec 17, 2017;109;kwi.05;0;1467;lut.52
0KE9r1n4VJY;Jak radzić sobie z błędami? - Vlog: #167;Oct 3, 2020;108;cze.05;0;1774;lut.14
4hO8lzF3MCg;Podcast #013 - Jak podejmować trudne decyzje?;Oct 1, 2019;108;17.1636;1;1991;lut.71
FXFWQcD8-vo;Vlog #113 - Jak uniknąć wypalenia zawodowego?;Apr 30, 2020;108;wrz.53;2;1801;lut.89
4t0U-LoPpUs;Vlog #006 - Czy wierzyć specjalistom?;Jul 6, 2019;107;lip.25;2;1893;lut.91
EZMdKq1bA3Y;#128 Jak uniknąć samotności w pracy zdalnej? - Vlog;Jun 4, 2020;106;cze.08;2;1787;lut.46
WdCY-Gg-C3Y;#117 Jakie działania pozwolą rozwinąć Ci karierę? - Vlog;May 9, 2020;106;sie.84;0;1506;kwi.18
UMeUd6-1CvA;Vlog #101 - Czy warto być dobrym człowiekiem?;Apr 3, 2020;105;cze.31;0;2221;lut.66
GJmk34pitdU;#120 Dlaczego warto prowadzić dziennik? - Vlog;May 16, 2020;104;sie.73;1;1786;03.mar
T_QaTCLLEpM;# 135 Jak się wyróżnić na tle konkurencji? - Vlog;Jun 20, 2020;104;9.0219;2;1957;mar.37
1cydYR0Xht8;#139 Czy nawyki są istotne w naszym życiu? - Vlog;Jul 2, 2020;103;sie.69;2;1529;mar.73
YeOJvxDlmio;Podcast #02 - Rola porażki w sukcesie;Jul 16, 2019;103;lis.19;2;2007;mar.34
6JdLzIuafF0;#130 - Delegowanie zadań - Vlog;Jun 9, 2020;102;7.948;0;1603;02.maj
84oD1k-mysc;Vlog #080 - Nie wszystko w życiu się udaje;Feb 8, 2020;102;8.082;0;1710;mar.63
Ex-B8wQUJLI;Vlog #086 - Jak odnalazłem radość w pracy?;Feb 22, 2020;102;7.256;1;1628;03.sty
6TOTHrx5UkU;Vlog #082 - Trik produktywności, który musisz znać;Feb 13, 2020;101;lip.93;0;1604;mar.99
hf-ecRPFxNE;Podcast #021 - 3 rodzaje spotkań na linii kandydat - pracodawca;Nov 26, 2019;101;15.4074;1;1891;lut.22
J1PlZXNug3E;Vlog #103 - Po co się aż tyle uczysz?;Apr 8, 2020;100;8.652;1;2347;lut.98
U0hjz200ltA;#129 Jak być samodzielnym? - Vlog;Jun 6, 2020;100;8.0162;0;1490;04.mar
kWFtQPUFJi0;Vlog #016 - Po co Ci dziennik?;Jul 29, 2019;100;8.273;0;1689;mar.67
66f9Ai_UsXo;Jak tanio wprowadzać zmiany? - Vlog: #169;Oct 9, 2020;99;lip.47;0;951;4
b3c1mZ1AiLc;#51 Jak szukać pomysłu, gdy go nie ma? - Podcast;Jun 23, 2020;99;cze.03;1;1931;02.gru
1trfwqNRPNU;#137 Czy to pieniądze psują znajomości? - Vlog;Jun 25, 2020;97;9.0192;1;1835;03.lis
eHPnVZ0Dwz4;#146 Jak Excel pomógł mi w mojej karierze? - Vlog;Jul 18, 2020;97;lip.29;0;1580;04.lis
ZSMXCWm4t4E;"Vlog #020 - Życie ""dziś"" czy pogoń za ""jutro""";Aug 7, 2019;96;6.273;1;1654;lut.48
tqktKfz3Kc8;Kiedy warto się nagradzać?  - Podcast: #59;Aug 18, 2020;96;7.038;1;1512;03.kwi
35nGit6WDEI;1 praktyka, która pozwoli Ci się szybciej stać ekspertem - Vlog: #166;Sep 30, 2020;95;sie.93;0;1602;mar.87
y-nl3kHPay4;Vlog #037 - Przeszłość jest w przeszłości;Sep 21, 2019;94;lip.44;3;1738;02.mar
FDEMVLAPfw0;Vlog #015 - Kto tu jest najważniejszy?;Jul 26, 2019;93;maj.63;3;1473;lut.65
FkQmdgNDsqU;Podcast #025 - Ta grupa odmieni tempo Twojego rozowoju! - Mastermind;Dec 24, 2019;92;maj.66;5;1613;sty.67
KngVdPIym64;Vlog #026 - Masz biznes, czy biznes ma Ciebie;Aug 24, 2019;92;maj.11;3;1587;lut.71
cVTvflgJ_Zo;Vlog #077 - Dzień z życia przedsiębiorcy;Feb 2, 2020;92;7.1435;1;1691;mar.78
c1ilFLRDefo;Vlog #013 - Jak się chce to można;Jul 23, 2019;91;sie.79;2;1702;mar.53
hGfS8gkRQ5g;#116 Czy warto inwestować w drogi sprzęt? - Vlog;May 6, 2020;91;lip.07;2;1681;lut.97
KkU6M26L4mc;Vlog #078 - Niebezpieczne oszczędzanie;Feb 5, 2020;90;pa�.12;1;1732;3
aLgQFWk6Lfc;Vlog #094 - Lepiej mieć teraz czy później?;Mar 17, 2020;90;sie.29;0;1868;mar.27
f9g1ms1kw_8;#149 Jak zmieniły się nasze problemy na przestrzeni lat? - Vlog;Jul 26, 2020;90;4.751;0;1367;lut.41
kGI6DkbMYYQ;Podcast #022 - Jak mówić, żeby zrozumieli;Dec 3, 2019;90;pa�.85;0;1742;sty.38
rcxhwlW22kI;Vlog #111 - Czego nauczą Cię studia?;Apr 25, 2020;90;lip.11;2;2023;mar.26
NrPmJteSG5Y;#144 Jak wygląda moja poniedziałkowa rutyna? - Vlog;Jul 14, 2020;89;7.0207;1;1881;mar.51
O-oWmIlWz9E;#126 Czy mądra praca popłaca? - Vlog;May 31, 2020;89;sie.97;0;1804;lut.77
7s-7M7AvFG0;#52 3 nauczki wyciągnięte z prowadzenia długiego projektu? - Podcast;Jun 30, 2020;88;sie.48;1;2465;01.lip
SvWxoeQc2EI;Vlog #010 -  Jak zacząć tworzyć wideo?;Jul 15, 2019;88;6.1604;0;1746;mar.15
D1FSddXiHHQ;Excel - Auto uzupełniająca się lista;Dec 10, 2017;86;kwi.53;1;878;mar.42
MUvyMsq8Aj0;Vlog #088 - Ile kosztuje mnie kanał na YouTube?;Feb 27, 2020;86;7.1079;1;1817;mar.14
o8ZfHI37f8w;Dlaczego musisz być wdzięczny? - Vlog: #168;Oct 7, 2020;86;maj.48;1;1304;mar.45
6ChLkf3ZaD0;Vlog #041 - Te informacje są warte miliony!;Oct 4, 2019;85;maj.71;1;1354;kwi.36
VLmTGuVmN6s;Podcast #06 - Czy każde doświadczenie jest dobre?;Aug 13, 2019;84;lis.75;0;2551;lut.47
l946mQmfYIE;Vlog #112 - Gdzie się widzę za 5 lat?;Apr 28, 2020;84;7.0318;1;1849;lut.92
mPoZeACybDA;Excel - nawigowanie po tabeli;Dec 29, 2017;84;3.1117;1;1351;lut.81
b3zkhVGr1dU;Jak pracować nad podświadomością? - Vlog: #170;Oct 14, 2020;83;6.217;0;1232;kwi.63
rMLfen5zgWk;Excel - przesuwanie kolumn i wierszy - szybka porada;Dec 15, 2017;83;mar.53;0;1380;mar.33
3pgpK2_airU;Podcast #033 - Jak wybrać priorytet?;Feb 18, 2020;82;9.236;2;1731;lut.66
TyzzKi5C5zA;#133 Czy pieniądze są złe? - Vlog;Jun 16, 2020;82;sie.54;0;1610;mar.23
Y1ppRkkem0o;Vlog #023 - Wyciągnij więcej z książek;Aug 16, 2019;82;maj.71;1;1547;03.mar
vtzL3weAvoY;#150 Jak nudzenie się może wpłynąć na pomysły? - Vlog;Jul 29, 2020;82;maj.17;0;1554;lut.64
sL87KyJH0po;Excel - wypełnianie luk w tabeli - wypełnianie pustych komórek;Dec 15, 2017;81;lut.15;0;1421;mar.31
KDx3cv2Pq94;#121 Jak oszczędzać czas? - Vlog;May 19, 2020;80;6.824;0;1661;mar.31
OXB5uls_1AA;Vlog #098 - Kraj Cię potrzebuje!;Mar 26, 2020;80;cze.49;1;1933;lut.79
XX9Qvumnv64;Vlog #029 - Firma dla całkowicie świeżych;Aug 30, 2019;80;cze.79;0;1583;mar.16
z6-T6Tbgg2o;Vlog #027 - Zaczynam szukać pierwszego pracownika;Aug 26, 2019;80;cze.62;1;1565;mar.51
D7YCIAzYIk4;Vlog #075 - Pomysł na Twoje źródło pieniędzy;Jan 26, 2020;79;maj.95;1;1416;mar.39
TjGdBqXc_WY;Vlog #014 - Myśl, planuj, działaj!;Jul 24, 2019;79;maj.29;0;1579;mar.42
ZRRptErsBQQ;Vlog #049 - A Ty wiesz gdzie idziesz?;Nov 4, 2019;78;sie.56;0;1377;mar.63
kBNLjDQ0Vys;Vlog #069 - Wiara czyli co?;Jan 8, 2020;78;cze.35;1;1590;mar.27
L__BOzcvHGs;Vlog #068 - Pracując z domu;Jan 4, 2020;77;maj.76;0;1729;lut.95
NrG0_aRbLR4;Excel - pusty wiersz co 2 wiersz;Dec 27, 2017;77;lut.92;3;1350;lut.74
hF8AkE0wdo0;Vlog #105 - Pomysł bez tego jest niczym;Apr 11, 2020;77;cze.83;0;2133;lut.77
sEx_-yDbIA8;Vlog #062 - Bez tego nie robię biznesu;Dec 18, 2019;77;lip.14;0;1363;lut.79
NT3rXYZkgGs;Vlog #106 - Produkcja kursu online od kulis;Apr 15, 2020;76;6.0946;1;2145;lut.52
yjs6e1WXVKI;Vlog #031 - Czego Ci nie pokażę;Sep 4, 2019;76;5.175;-1;1449;lut.97
1jxS3CthbR8;Vlog #017 - Jak robić więcej wkładając mniej?;Jul 31, 2019;75;5.0155;0;1541;03.maj
NKTSoWGqiHE;Vlog #022 -  Podróże kształcą;Aug 14, 2019;75;kwi.44;0;1903;lut.52
O6D4v8A6Bns;Vlog #107 - Historyczny webinar od kuchni;Apr 17, 2020;73;4.0321;0;1840;02.sty
OkHmM8-HknY;Po co Ci zasady? - Vlog: #171;Oct 17, 2020;73;maj.59;-1;1321;mar.86
WTT8KBOxf0A;Vlog #102 - Jak podsumować swój miesiąc?;Apr 4, 2020;73;7.1214;0;2072;lut.36
WB-GYhVjMuc;Vlog #083 - Jak stworzyć swój produkt?;Feb 16, 2020;72;6.1563;0;1602;lut.37
posK8ZiyKUs;#119 Czy warto cieszyć się każdym dniem? - Vlog;May 14, 2020;72;6.1355;0;1743;lut.58
x8t2X0B-lu0;Vlog #033 - Duże zagrożenie XXI wieku;Sep 10, 2019;72;5.1112;0;1816;lut.81
7iCfJ4si0nI;Czy ignorancja Cię hamuje? - Podcast: #68;Oct 20, 2020;71;mar.32;1;980;mar.47
Wp9eUoGFOoU;Vlog #091 - Dyscyplina dała mi wolność;Mar 11, 2020;71;maj.57;0;1513;lut.97
nHtl3BFSFTo;Vlog #095 - Ile tak naprawdę wiesz o sobie?;Mar 20, 2020;71;7.152;0;1736;lut.76
yypcXhKHvZI;Vlog #100 - 100 odcinków za nami!;Mar 31, 2020;71;kwi.93;0;1519;sty.91
4HY4OSw03RI;Vlog #108 - Dlaczego studiujemy?;Apr 18, 2020;69;maj.87;0;1643;lut.98
Kd7Kie98eNU;Vlog #035 - Co zrobię dziś, a nie jutro?;Sep 16, 2019;68;4.1657;0;1553;02.cze
MS3YQKIpKl0;#141 Czy odpoczywanie po pracy jest złe? - Vlog;Jul 7, 2020;68;cze.06;0;1578;lut.92
o3BDSYMqgnU;Vlog #109 - Ciemna strona pracy u siebie;Apr 21, 2020;68;maj.27;0;1719;lut.39
3hxGr0n3-wo;Vlog #074 - Prywaciorze i nieroby;Jan 24, 2020;67;maj.48;0;1600;lut.69
VLX2gKYQ30Y;Vlog #019 - Ustalanie celów;Aug 5, 2019;67;maj.19;1;1553;02.wrz
j-eOkkBnkRA;Vlog #087 - Co robić, żeby się nie narobić?;Feb 25, 2020;67;maj.03;1;1555;lut.25
m9ssTvM108A;Excel - sumy.częściowe - szybka porada;Dec 15, 2017;67;sty.17;0;1163;mar.96
GXraS_YfyvQ;Vlog #099 - Pracujesz by żyć, czy żyjesz by pracować?;Mar 28, 2020;66;5.889;0;1932;lut.38
Kmb8C485qIk;Excel - usuwanie pustych komórek - szybka porada;Dec 15, 2017;66;sty.16;2;1253;mar.43
f0uBKlDZ1mw;Twoje zarobki kontra ile kosztujesz pracodawcę? - Podcast: #69;Oct 27, 2020;66;5.0882;1;736;03.kwi
poUiaTFH5ZM;Vlog #024 - Jak masz w szafie, tak masz w życiu;Aug 19, 2019;66;kwi.23;0;1492;lut.88
QzULCNO3fk0;Vlog #057 - Pierwszy miesiąc delegowania zadań;Dec 2, 2019;65;6.246;1;1321;lut.73
XP2-2GMj0NA;#148 Jak relacje wpływają na współpracę? - Vlog;Jul 24, 2020;65;kwi.34;0;1255;03.lis
